
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
023: 64 0.38
024: 64 0.43
025: 64 0.43
026: 64 0.43
027: 64 0.43
028: 64 0.43
029: 64 0.42
030: 64 0.42
031: 64 0.43
032: 64 0.43
033: 64 0.43
034: 64 0.43
035: 64 0.43
036: 64 0.43
037: 64 0.43
038: 64 0.43
039: 64 0.43
040: 64 0.43
041: 64 0.43
042: 64 0.42
043: 64 0.43
044: 64 0.43
045: 64 0.43
64                      0.44
000: 128 1.81
001: 128 0.43
002: 128 0.43
003: 128 0.43
004: 128 0.43
005: 128 0.43
006: 128 0.43
007: 128 0.43
008: 128 0.42
009: 128 0.43
010: 128 0.43
011: 128 0.43
012: 128 0.43
013: 128 0.44
014: 128 0.43
015: 128 0.45
016: 128 0.44
017: 128 0.43
018: 128 0.44
019: 128 0.43
020: 128 0.44
021: 128 0.43
022: 128 0.43
023: 128 0.42
024: 128 0.44
025: 128 0.44
026: 128 0.44
027: 128 0.44
028: 128 0.44
029: 128 0.44
030: 128 0.44
031: 128 0.44
032: 128 0.44
033: 128 0.44
034: 128 0.44
035: 128 0.44
036: 128 0.44
037: 128 0.44
038: 128 0.44
039: 128 0.44
040: 128 0.44
041: 128 0.44
042: 128 0.44
043: 128 0.43
044: 128 0.44
045: 128 0.44
128                     0.47
000: 256 1.82
001: 256 0.46
002: 256 0.46
003: 256 0.47
004: 256 0.47
005: 256 0.47
006: 256 0.47
007: 256 0.47
008: 256 0.47
009: 256 0.47
010: 256 0.47
011: 256 0.47
012: 256 0.47
013: 256 0.47
014: 256 0.47
015: 256 0.48
016: 256 0.47
017: 256 0.46
018: 256 0.47
019: 256 0.47
020: 256 0.48
021: 256 0.47
022: 256 0.48
023: 256 0.47
024: 256 0.48
025: 256 0.48
026: 256 0.48
027: 256 0.49
028: 256 0.48
029: 256 0.49
030: 256 0.48
031: 256 0.48
032: 256 0.49
033: 256 0.48
034: 256 0.48
035: 256 0.48
036: 256 0.48
037: 256 0.48
038: 256 0.49
039: 256 0.48
040: 256 0.48
041: 256 0.48
042: 256 0.48
043: 256 0.48
044: 256 0.48
045: 256 0.48
256                     0.51
000: 512 1.93
001: 512 0.56
002: 512 0.56
003: 512 0.56
004: 512 0.56
005: 512 0.57
006: 512 0.57
007: 512 0.57
008: 512 0.57
009: 512 0.57
010: 512 0.56
011: 512 0.56
012: 512 0.56
013: 512 0.56
014: 512 0.56
015: 512 0.57
016: 512 0.57
017: 512 0.56
018: 512 0.57
019: 512 0.56
020: 512 0.57
021: 512 0.57
022: 512 0.57
023: 512 0.56
024: 512 0.58
025: 512 0.58
026: 512 0.57
027: 512 0.58
028: 512 0.57
029: 512 0.58
030: 512 0.57
031: 512 0.58
032: 512 0.58
033: 512 0.57
034: 512 0.57
035: 512 0.57
036: 512 0.57
037: 512 0.57
038: 512 0.58
039: 512 0.58
040: 512 0.57
041: 512 0.58
042: 512 0.57
043: 512 0.57
044: 512 0.57
045: 512 0.57
512                     0.60
000: 1024 1.95
001: 1024 0.59
002: 1024 0.58
003: 1024 0.59
004: 1024 0.59
005: 1024 0.59
006: 1024 0.59
007: 1024 0.59
